Title,NombreCargo,Activo
CARGO-001,ADMINISTRADOR DE CONTRATOS,1
CARGO-002,ADMINISTRATIVO DE VENTAS,1
CARGO-003,ADMINISTRATIVO RRHH,1
CARGO-004,ALUMNO EN PRACTICA,1
CARGO-005,ANALISTA CONTABLE,1
CARGO-006,ANALISTA CONTROL DE COMBUSTIBLE,1
CARGO-007,ANALISTA DE CONTROL DE GESTION,1
CARGO-008,ANALISTA DE FACTURACIÓN Y COBRANZA,1
CARGO-009,ANALISTA DE OPERACIONES,1
CARGO-010,ANALISTA DE REMUNERACIONES,1
CARGO-011,ANALISTA DE RRHH JUNIOR,1
CARGO-012,ANALISTA DE TESORERIA,1
CARGO-013,ANALISTA PROGRAMADOR WEB,1
CARGO-014,ANALISTA SALA DE CONTROL,1
CARGO-015,ASEADOR,1
CARGO-016,ASESOR DE CALIDAD,1
CARGO-017,ASISTENTE,1
CARGO-018,ASISTENTE ADMINISTRATIVO,1
CARGO-019,ASISTENTE BODEGA LOS ANDES,1
CARGO-020,ASISTENTE CONTROL ASISTENCIA,1
CARGO-021,ASISTENTE DE ADQUISICIONES,1
CARGO-022,ASISTENTE DE CONTRALORIA,1
CARGO-023,ASISTENTE DE FACTURACION Y COBRANZA,1
CARGO-024,ASISTENTE DESARROLLO DE PERSONAS,1
CARGO-025,ASISTENTE GERENCIA,1
CARGO-026,AUDITOR INTERNO,1
CARGO-027,AUXILIAR,1
CARGO-028,AYUDANTE MECÁNICOS,1
CARGO-029,BODEGUERO,1
CARGO-030,CHAPISTERO,1
CARGO-031,COMPRADOR LOCAL,1
CARGO-032,CONDUCTOR 4X4 SIGDO KOPPERS VP ANDINA,1
CARGO-033,CONDUCTOR BUS,1
CARGO-034,CONDUCTOR CAMIONETA,1
CARGO-035,CONDUCTOR DE BUS,1
CARGO-036,CONDUCTOR DE FURGON,1
CARGO-037,CONDUCTOR DE FURGÓN,1
CARGO-038,CONDUCTOR DE TAXI BUS,1
CARGO-039,CONDUCTOR DE TAXIBUS,1
CARGO-040,CONTADOR,1
CARGO-041,CONTROLLER,1
CARGO-042,COORDINADOR DE SERVICIOS,1
CARGO-043,COORDINADOR OPERATIVO DE TRANSPORTE,1
CARGO-044,DIRECCIÓN,1
CARGO-045,ELÉCTRICISTA,1
CARGO-046,ELECTRICO,1
CARGO-047,ENCARGADA DE RRLL,1
CARGO-048,ENCARGADO DE CONTRALORIA,1
CARGO-049,ENCARGADO DE CONTRATOS Y FINIQUITOS,1
CARGO-050,ENCARGADO DE CONTROL DE GESTION,1
CARGO-051,ENCARGADO DE RRHH,1
CARGO-052,ENCARGADO DE SELECCION DE PERSONAL,1
CARGO-053,EXPEDITOR,1
CARGO-054,GERENTE ADMINISTRACIÓN Y FINANZAS,1
CARGO-055,GERENTE COMERCIAL,1
CARGO-056,GERENTE DE ABASTECIMIENTO,1
CARGO-057,GERENTE DE FLOTA,1
CARGO-058,GERENTE DE INFORMATICA,1
CARGO-059,GERENTE DE MANTENCION,1
CARGO-060,GERENTE DE OPERACIONES,1
CARGO-061,GERENTE DE PREVENCION DE RIESGOS,1
CARGO-062,GERENTE DE RR HH,1
CARGO-063,INGENIERO AMBIENTAL,1
CARGO-064,INGENIERO COVID,1
CARGO-065,INGENIERO DE CALIDAD,1
CARGO-066,INGENIERO DE ESTUDIOS,1
CARGO-067,INGENIERO DE SEGURIDAD Y SALUD OCUPACIONAL,1
CARGO-068,INSPECTOR DE RUTA,1
CARGO-069,INSTRUCTOR DE SERVICIOS,1
CARGO-070,JEFE CONTROL DE MANTENCION,1
CARGO-071,JEFE DE BODEGA,1
CARGO-072,JEFE DE FACTURACION Y COBRANZAS,1
CARGO-073,JEFE DE MANTENCIÓN,1
CARGO-074,JEFE DE OF. REGIONAL,1
CARGO-075,JEFE DE OPERACIONES,1
CARGO-076,JEFE DE PREVENCION DE RIESGOS,1
CARGO-077,JEFE DE RRHH,1
CARGO-078,JEFE DE TALLER,1
CARGO-079,JEFE DE TURNO,1
CARGO-080,JEFE DESARROLLO DE PERSONAS,1
CARGO-081,JEFE SALA DE CONTROL,1
CARGO-082,JEFE SERVICIO INTERURBANO-ESPECIAL,1
CARGO-083,LIDER LOGISTICO,1
CARGO-084,MECANICO,1
CARGO-085,MECANICO ELECTRICO,1
CARGO-086,OPERADOR CONTROLADOR,1
CARGO-087,PLANIFICADOR DE COMPRAS,1
CARGO-088,PLANIFICADOR DE TRANSPORTE,1
CARGO-089,PREVENCIONISTA DE RIESGOS,1
CARGO-090,PROGRAMADOR WEB,1
CARGO-091,PSICOLOGO ORGANIZACIONAL,1
CARGO-092,SECRETARIA,1
CARGO-093,SECRETARIO TECNICO,1
CARGO-094,SUPERVISOR,1
CARGO-095,SUPERVISOR BODEGA CALAMA,1
CARGO-096,SUPERVISOR BODEGA LOS ANDES,1
CARGO-097,SUPERVISOR CONTABLE,1
CARGO-098,SUPERVISOR DE OPERACIONES,1
CARGO-099,SUPERVISOR DE PATIOS,1
CARGO-100,SUPERVISOR DE REMUNERACIONES,1
CARGO-101,TRABAJADOR SOCIAL,1
CARGO-102,TRABAJADOR/A SOCIAL,1
