Title,Marca,Tipo,Modelo,Activo
VEH-001,IVECO,MINIBUS,DAILY 50 - 170 4X2,1
VEH-002,MAXUS,MINIBUS,E DELIBERY 9,1
VEH-003,MERCEDES BENZ,BUS 1 PISO,O500 RS - OC500 RF,1
VEH-004,MERCEDES BENZ,BUS 1 PISO,O500 RS-D,1
VEH-005,MERCEDES BENZ,BUS 2 PISOS,O500 RS - OC500 RF,1
VEH-006,MERCEDES BENZ,BUS 2 PISOS,O500 RS-D,1
VEH-007,MERCEDES BENZ,MINIBUS,SPRINTER 315 – 415 – 515 – 517 4X2,1
VEH-008,MERCEDES BENZ,MINIBUS,SPRINTER 315 – 415 – 515 – 517 4X4,1
VEH-009,MERCEDES BENZ,TAXIBUS,LO915 - LO916,1
VEH-010,SCANIA,BUS 1 PISO,K 360 IB,1
VEH-011,SCANIA,BUS 1 PISO,K 410CB,1
VEH-012,SCANIA,BUS 2 PISOS,K 360 IB,1
VEH-013,SCANIA,BUS 2 PISOS,K 440 IB,1
VEH-014,VOLARE,TAXIBUS,Fly W9 Agrale MA 9.2,1
VEH-015,VOLARE,TAXIBUS,V8L 4X4,1
VEH-016,VOLVO,BUS 2 PISOS,B 420R - B 430R,1
VEH-017,VOLVO,BUS 2 PISOS,B 450R,1
VEH-018,YUTONG,TAXIBUS,C9 ZK6709H,1
VEH-019,ZHONG TONG,BUS 1 PISO,ZT LCK6129EV,1
